21.11.2024, 08:35
Project Statistics

                 	Segments	 Words	Characters (w/o spaces)	Characters (w/ spaces)	#Files	
Total:           	    2686	422141	                3352889	               3525975	   158	
Remaining:       	    2685	421943	                3351478	               3524484	   157	
Unique:          	    2653	422002	                3352159	               3525135	   157	
Unique Remaining:	    2652	421804	                3350748	               3523644	   156	


Individual File Statistics:

File Name                                          	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (w/o spaces)	Remaining Characters (w/o spaces)	Unique Characters (w/o spaces)	Unique Remaining Characters (w/o spaces)	Total Characters (w/ spaces)	Remaining Characters (w/ spaces)	Unique Characters (w/ spaces)	Unique Remaining Characters (w/ spaces)	
songs/song_pirateSong.3421.txt                     	             2	                 2	              2	                        2	         83	             83	          83	                    83	                          335	                              335	                           335	                                     335	                         383	                             383	                          383	                                    383	
books/page_song_cowardKing.2364.txt                	             1	                 1	              1	                        1	         36	             36	          36	                    36	                          138	                              138	                           138	                                     138	                         173	                             173	                          173	                                    173	
books/page_song_lullaby.2527.txt                   	             1	                 1	              1	                        1	         12	             12	          12	                    12	                           46	                               46	                            46	                                      46	                          57	                              57	                           57	                                     57	
books/page_song_maiden.3394.txt                    	             1	                 1	              1	                        1	         18	             18	          18	                    18	                           77	                               77	                            77	                                      77	                          94	                              94	                           94	                                     94	
books/page_song_poisonedCup.2979.txt               	             1	                 1	              1	                        1	         17	             17	          17	                    17	                           71	                               71	                            71	                                      71	                          87	                              87	                           87	                                     87	
books/page_song_ratTwoTails.3075.txt               	             1	                 1	              1	                        1	         14	             14	          14	                    14	                           76	                               76	                            76	                                      76	                          89	                              89	                           89	                                     89	
books/paper_manuscript_pass.3019.txt               	             1	                 1	              1	                        1	         35	             35	          35	                    35	                          152	                              152	                           152	                                     152	                         186	                             186	                          186	                                    186	
quests/quest_chapelMural.2518.txt                  	             1	                 1	              1	                        1	        213	            213	         213	                   213	                         1566	                             1566	                          1566	                                    1566	                        1666	                            1666	                         1666	                                   1666	
quests/quest_collectFungusSamplesA.2993.txt        	             1	                 1	              1	                        1	        627	            627	         627	                   627	                         4468	                             4468	                          4468	                                    4468	                        4740	                            4740	                         4740	                                   4740	
quests/quest_collectFungusSamplesB.3169.txt        	             1	                 1	              1	                        1	        422	            422	         422	                   422	                         3064	                             3064	                          3064	                                    3064	                        3249	                            3249	                         3249	                                   3249	
quests/quest_costumeKing.2632.txt                  	             1	                 1	              1	                        1	        389	            389	         389	                   389	                         2912	                             2912	                          2912	                                    2912	                        3090	                            3090	                         3090	                                   3090	
quests/quest_costumePirate.2548.txt                	             1	                 1	              1	                        1	        570	            570	         570	                   570	                         3804	                             3804	                          3804	                                    3804	                        4045	                            4045	                         4045	                                   4045	
quests/quest_costumeRanger.3155.txt                	             1	                 1	              1	                        1	        362	            362	         362	                   362	                         2485	                             2485	                          2485	                                    2485	                        2648	                            2648	                         2648	                                   2648	
quests/quest_costumeThief.3304.txt                 	             1	                 1	              1	                        1	        368	            368	         368	                   368	                         2491	                             2491	                          2491	                                    2491	                        2659	                            2659	                         2659	                                   2659	
quests/quest_crownOfKings.3312.txt                 	             1	                 1	              1	                        1	        352	            352	         352	                   352	                         2372	                             2372	                          2372	                                    2372	                        2544	                            2544	                         2544	                                   2544	
quests/quest_duinlansRemains.2609.txt              	             1	                 1	              1	                        1	        310	            310	         310	                   310	                         2158	                             2158	                          2158	                                    2158	                        2297	                            2297	                         2297	                                   2297	
quests/quest_escapePlanDisguises.3186.txt          	             1	                 1	              1	                        1	        222	            222	         222	                   222	                         1608	                             1608	                          1608	                                    1608	                        1712	                            1712	                         1712	                                   1712	
